Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
835,CEBAN,CEBANTAGIHANAPRIL4,"1,489","1,500","March 25, 2023, 00:00","April 10, 2023, 23:59",16 days
870,CEBAN,CEBANCODASEP9,739,750,"August 25, 2023, 00:00","September 10, 2023, 23:59",16 days
715,CEBAN,CEBANYAMUSIC,5,250,"August 25, 2021, 00:00","September 10, 2021, 23:59",16 days
275,Pasar GENIT x bonusDOKU - Ria Miranda,BONUSRIAMIRANDA,0,100,"October 27, 2017, 00:00","December 5, 2017, 23:59",39 days
574,test airasia,testAA1,0,10,"January 17, 2020, 00:00","January 18, 2020, 23:59",1 days
807,MLBBDOKU,MLBBDOKU11,17,"1,000","October 11, 2022, 00:00","October 19, 2022, 23:59",8 days
604,HAPPYDIRUMAH,HappyPaketData,6,"1,000","March 27, 2020, 00:00","April 20, 2020, 23:59",24 days
859,CEBAN,CEBANGOCAUG8,734,750,"July 26, 2023, 00:00","August 10, 2023, 23:59",15 days
11,QCVOUCHER2,QCVOUCHER2,2,3,"December 29, 2015, 00:00","December 31, 2015, 23:59",2 days
36,POPAZOP Bremi,BREMI,1,20,"February 5, 2016, 00:00","February 6, 2016, 23:59",1 days
776,CEBAN,CahyaDiCeban,"1,484","1,500","April 25, 2022, 00:00","May 10, 2022, 23:59",15 days
25,PROMOOCODE4,PROMOOCODE4,1,2,"January 5, 2016, 00:00","January 5, 2016, 23:59",0 days
419,CEBAN KEMBALI LAGI,PULSACEBAN8,460,500,"August 25, 2018, 00:00","September 10, 2018, 23:59",16 days
586,CEBAN,CEBANMUSIC1,17,250,"January 25, 2020, 00:00","February 10, 2020, 23:59",16 days
14,vouchertes1,vouchertes1,1,2,"December 30, 2015, 00:00","December 30, 2015, 23:59",0 days
656,DOKUCEBAN,TAGIHANCEBAN09,498,500,"August 25, 2020, 00:00","September 10, 2020, 23:59",16 days
791,PROKLAMASI,AIRASIAPROKLAMASI,0,250,"August 17, 2022, 00:00","August 31, 2022, 23:59",14 days
593,CEBAN,CEBANMUSIC02,16,250,"February 25, 2020, 00:00","March 10, 2020, 23:59",14 days
794,MLBB DOKU,DOKUNIPINMLBB,184,500,"August 20, 2022, 00:00","August 27, 2022, 23:59",7 days
183,DOKUCODA Valentines,CODADOKU60,0,500,"February 20, 2017, 00:00","March 1, 2017, 23:59",9 days
46,TEST ALFA,BREMI3,2,10,"February 15, 2016, 00:00","February 19, 2016, 23:59",4 days
